number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_bin,params_max_depth,params_max_leaves,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
29,0.6201753992247921,2026-04-14 14:06:13.610580,2026-04-14 14:06:13.692816,0 days 00:00:00.082236,0.45208430840810043,0.8434718425145458,0.9470979491778795,6.866344334668552,0.027091705228276093,352,8,181,3.531370528237572,966,1.0329127086424391e-08,5.233323089367265e-07,0.9309751496769135,0.5946015773345686,PRUNED
30,0.6285362736798408,2026-04-14 14:06:13.693212,2026-04-14 14:06:13.867319,0 days 00:00:00.174107,0.586073149104543,0.7990584444533113,0.8924306434347056,8.219232086440265,0.006504743721107672,330,5,148,25.349731620061835,903,0.02952964513922178,0.0017086425165221567,2.066297214394513,0.5485934371233018,PRUNED
31,0.3222515015398667,2026-04-14 14:06:13.867673,2026-04-14 14:06:16.427448,0 days 00:00:02.559775,0.7661442283590609,0.9971509633507084,0.7560491343185114,5.484842076855863,0.07868878105886597,128,6,256,22.78912355291238,1005,0.18795307110691642,1.1084216614736769e-05,2.824389876688966,0.6230907330128035,COMPLETE
32,0.6423564782406935,2026-04-14 14:06:16.427817,2026-04-14 14:06:17.609082,0 days 00:00:01.181265,0.7462586096380426,0.6724242731744026,0.6454280691771385,5.347652240499685,0.054644339627104764,226,6,236,20.273560392214975,1038,0.27839873733389126,1.434790254009265e-05,3.3636511061745873,0.7688042817119647,PRUNED
33,0.6328757099925088,2026-04-14 14:06:17.609453,2026-04-14 14:06:17.941525,0 days 00:00:00.332072,0.6929507463077363,0.7049834488102356,0.6979735732744887,4.2666082030588495,0.0005267772137974038,162,7,225,10.72340618484288,705,1.421781815403992,0.00020013116456958884,2.3484359539340622,0.6107830315348131,PRUNED
34,0.3248372706018365,2026-04-14 14:06:17.941875,2026-04-14 14:06:20.497856,0 days 00:00:02.555981,0.8016173454228208,0.8963762821992775,0.8008329891421765,6.669662093856811,0.07855037332584319,303,5,256,27.13534284281266,593,0.0006124219567648484,0.00010364813849560694,2.510098691325177,0.735701854838233,COMPLETE
35,0.6181895237022077,2026-04-14 14:06:20.498212,2026-04-14 14:06:20.568947,0 days 00:00:00.070735,0.8211507131509925,0.9128808880945947,0.8738199481125268,6.71687691694154,0.0547062404931844,368,4,81,29.533341976407115,581,0.0003905005403862745,0.000195539721044858,2.4772056738511976,0.8082625417296045,PRUNED
36,0.6284910823188925,2026-04-14 14:06:20.569282,2026-04-14 14:06:20.673552,0 days 00:00:00.104270,0.8912278729927706,0.8755192125602735,0.8440387777923771,8.384221399414937,0.020016712787735785,314,5,199,28.35200741361618,528,8.703373449567392e-06,0.3535860500327497,2.2296645467840484,0.7290135412735677,PRUNED
37,0.6136952443235519,2026-04-14 14:06:20.673906,2026-04-14 14:06:20.745541,0 days 00:00:00.071635,0.6183783955377652,0.7779278662295322,0.4500109668748842,0.0426564859683678,0.0016535544395051176,276,4,165,17.04674059394781,763,0.017775059827057356,0.017555674491287924,1.7377525613306406,0.8075119136542169,PRUNED
38,0.6089811380892506,2026-04-14 14:06:20.745889,2026-04-14 14:06:20.829809,0 days 00:00:00.083920,0.9970087370554364,0.933554982524131,0.7966973174456563,9.311230620527928,0.03466098600711847,251,3,25,26.45790184466556,647,3.692939323821779e-05,4.178949955063556,1.3312700696632545,0.7783322158114823,PRUNED
