MAX_DPD_30D,NUM_PAID_20PER_DAYS_1_TO_7_D,TILLDATE_MAX_DPD,NUM_NOCOUNTERPARTYPAYMENTCOMPLETED_1_TO_7_D,NUM_PAID_20PER_DAYS_8_TO_15_D,MAX_BOD_DPD_1_TO_7_D,COLLECTED_AMOUNT_EOD,MAX_DPD_W1,DAYS_DPD_1_2_W1,MAX_BOD_DPD_16_TO_30_D,NUM_PAID_20PER_DAYS_16_TO_30_D,NUM_NO_CALL_ALLOCATED_LOANS_1_TO_7_D,MAX_DPD_W2,EMI_PER_MAX_DPD_30D,AVG_DPD_30D,MAX_BOD_DPD_8_TO_15_D,DAYS_DPD_3_5_W1,AVG_BOD_DPD_1_TO_7_D,NUM_NOCOUNTERPARTYPAYMENTCOMPLETED_16_TO_30_D,MAX_ACTUAL_DPD_16_TO_30_D,NUM_NOCOUNTERPARTYPAYMENTCOMPLETED_8_TO_15_D,RATIO__MAX_ACTUAL_DPD_1_TO_7_D_vs_8_TO_15_D,RATIO__AVG_ACTUAL_DPD_1_TO_7_D_vs_8_TO_15_D,DAYS_DPD_1_2_W2,AVG_DPD_W2,TOTAL_DAYS_LATE_30D,AVG_DPD_W1,MAX_DPD_W4,AVG_BOD_DPD_16_TO_30_D,PCT_DAYS_LATE_30D,RATIO__AVG_ACTUAL_DPD_1_TO_7_D_vs_16_TO_30_D,DAYS_DPD_1_2_W4,NO_OF_MODES_OF_REPAYMENTS_USED,DAYS_DPD_3_5_W2,RATIO__AVG_BOD_DPD_1_TO_7_D_vs_8_TO_15_D,AVG_ACTUAL_DPD_1_TO_7_D,RATIO__MAX_ACTUAL_DPD_1_TO_7_D_vs_16_TO_30_D,COLLECTED_AMOUNT_CUMULATIVE,MAX_ACTUAL_DPD_8_TO_15_D,AVG_ACTUAL_DPD_16_TO_30_D,NO_OF_DAYS_SINCE_FIRST_EDI,RATIO__AVG_ACTUAL_DPD_8_TO_15_D_vs_16_TO_30_D,MIN_AVAILABLE_BALANCE_LAST_1_2_DAY,NUM_BOD_DPD_4_10_LOANS_1_TO_7_D,AVG_BOD_DPD_8_TO_15_D,NUM_NO_CALL_ALLOCATED_LOANS_8_TO_15_D,RATIO__NUM_HIGH_RISK_LOANS_8_TO_15_D_vs_16_TO_30_D,NUM_TOTAL_SMS_LAST_7_8_DAY,RATIO__AVG_BOD_DPD_1_TO_7_D_vs_16_TO_30_D,NUM_HIGH_RISK_LOANS_16_TO_30_D
-0.20590508,-0.032379985,0.36850667,-0.11913028,0.0005172562,-0.038761787,-0.006083224,-0.047675967,0.0178838,-0.019202279,0.023737801,-0.049689744,-0.083703995,-0.0056586987,-0.108399175,-0.082858585,-0.009503584,-0.0025819365,0.0025442075,-0.015631502,-0.05870478,0.0026952815,-0.048399176,-0.028561177,-0.063606046,0.016678229,-0.01768801,-0.01787632,-0.03199648,-0.01736355,-0.01852366,-0.030552631,0.003920322,-0.013687869,-0.025984915,-0.014187244,0.03146873,-0.06648389,-0.041265536,-0.05132375,-0.012946969,-0.09882278,-0.27023518,-0.0057504047,0.009350058,-0.028958457,0.025466839,-0.004401058,-0.016823445,0.04537304
0.033910077,-0.2508008,-0.05967254,-0.1488786,-0.089673065,-0.017458148,-0.008299798,-0.062116344,-0.06847171,-0.0074651614,-0.08881043,-0.05114856,0.065428935,-0.023390556,0.05256207,0.06488155,-0.022674834,0.0012855388,0.034055844,-0.010610931,-0.073552184,-0.0009608739,0.01138336,-0.06244623,0.034979127,-0.20182976,-0.01840927,-0.015393059,0.04043019,-0.18907307,-0.0047132494,-0.0638755,0.0055373823,0.07701554,-0.0018503098,-0.00076298777,0.017644424,-0.10098129,0.029715395,0.027117163,-0.08018818,0.012238575,0.030529309,-0.011029654,-0.024837067,-0.030984549,-0.013847399,0.10264857,0.050997045,-0.023917887
0.19665346,-0.07043941,0.09587468,-0.11494459,-0.09192249,0.045463517,-0.16693398,0.083390854,0.023565276,0.0036082233,-0.13583335,-0.037049945,0.0028183463,0.0049784854,0.052644394,-0.032121044,0.04963596,0.032781992,-0.011246393,0.031174786,0.0050522066,0.031667143,0.053090453,0.02740423,-0.07499382,0.019922161,0.07376093,-0.0014019168,-0.028804217,0.005377981,-0.00053676567,0.029895945,-0.077708066,-0.009554342,0.012211054,0.01749972,-0.022057928,-0.035327606,-0.010263201,0.019852322,0.0034876177,-0.019476267,0.00072313595,-0.019914016,0.03369225,-0.029821463,0.025018854,0.0058549307,0.037347008,-0.023072038
0.3032152,0.25025764,0.30596456,0.029412614,-0.090376064,0.081755355,0.11167362,0.10486974,0.083198436,-0.04989072,-0.12744646,-0.0642323,-0.010917953,-0.0067952797,0.04116507,-0.04718207,-0.007949948,-0.035394527,-0.013471666,-0.013896104,0.018776186,0.015832527,0.069121964,0.029039824,-0.015599862,0.052741952,0.048304327,0.023462757,-0.02763355,0.11337905,0.07653984,0.027113277,0.06501261,-0.013602036,0.023025483,0.029519659,-0.027678167,0.073098764,-0.015043117,0.037957963,0.06106416,0.03839726,-0.0062324293,0.081246026,0.026177572,-0.06454821,-0.028309502,-0.08764596,0.056222726,-0.009486185
0.07311783,-0.27444914,-0.07233025,-0.27456787,-0.025023907,0.07643402,0.014163798,0.110220276,-0.006657208,-0.0201859,-0.17349128,-0.05120228,-0.004290565,0.008327313,0.034066223,-0.0003369761,0.08059243,0.00965913,-0.06383587,-0.011224309,-0.04164073,-0.027873915,0.03760086,-0.15327829,0.035937957,-0.0836752,0.011951621,-0.02110505,0.0022385651,-0.119278446,0.029551687,-0.15751946,0.010062372,-0.01141506,0.09375102,0.044740077,0.015858173,-0.14037004,-0.0054107565,0.0350977,0.0097992495,0.009170506,-0.0094394,-0.004685147,-0.01837648,-0.035799228,0.0072097,0.014253056,-0.00096737023,-0.083570786
0.26940563,0.017157841,0.3102964,-0.07184707,0.09015108,0.07371137,0.035304874,0.12892273,0.033256456,0.049461067,-0.00883469,-0.052586123,0.056795392,0.010080288,-0.055937752,0.011123,0.020993544,-0.0056009972,0.007574934,-0.035906464,0.016449597,0.012605768,-0.010531183,0.013345392,0.0798735,-0.03127748,-0.0044800686,-1.5283354e-06,0.017568057,-0.039498493,0.016499404,0.009061187,0.041944608,0.07103747,0.0012112567,-0.0037685505,-0.017300082,-0.05338861,-0.0038844643,0.0019644678,-0.13960314,0.08867342,0.038190596,-0.0030463282,0.017866874,-0.03941582,-0.009300319,-0.0073869675,0.03498251,0.01875787
0.085224055,0.26380876,-0.03376973,0.08639404,-0.09952612,0.090012096,0.012469689,0.05704673,-0.044563033,-0.043110948,-0.029129194,-0.042459525,-0.054011013,0.026986888,-0.03949898,-0.025490806,0.030190017,-0.02906344,0.048222058,-0.01057399,0.011920245,0.05990604,0.06983298,0.04009131,-0.027313,0.005264755,0.010986581,0.0015463554,-0.0016916904,-0.00773935,-0.011829037,-0.00833259,0.035800066,-0.0027831008,-0.026985882,-0.014863618,-0.007449916,-0.011052899,-0.004448356,-0.022642743,0.035836406,-0.030176217,-0.17135927,-0.002456552,0.05706208,-0.032743294,-0.026607055,-0.03592209,-0.019343201,-0.050104316
0.20308653,-0.07054463,0.10553876,0.04026329,-0.0883415,0.018795429,0.1957032,0.0743489,-0.06737634,0.06898014,-0.07336488,-0.042003985,0.016749239,-0.009169982,0.08723936,0.045908436,-0.0099069495,0.0018077882,-0.02681986,0.03859741,-0.0062544346,0.009909412,-0.01324693,-0.05021224,0.05590118,-0.10217959,-0.012384575,-0.009017861,-0.05100692,-0.07359728,-0.0077538164,0.033147596,-0.3287969,0.031049535,0.007763849,0.0034363703,-0.013755763,-0.048648708,0.019529035,0.047972687,-0.018325673,-0.0009063435,0.01680394,-6.0184215e-05,0.03516986,-0.022389317,0.02136942,-0.05274268,0.012738702,0.0036510068
-0.22529626,-0.12834243,-0.074165575,-0.09159365,-0.013407184,-0.021180034,0.010513357,-0.03552375,-0.02823731,-0.015562553,-0.050804704,-0.061389085,0.0063511143,-0.021525137,-0.059089433,-0.06475179,-0.008766427,0.0025373201,-0.010816175,-0.0092448285,0.014432711,0.035567556,-0.02402648,0.04104314,-0.045021344,0.0871575,0.011485551,-0.006997586,0.018486144,0.07010335,-0.011802743,0.024021432,0.014182173,-0.01748211,0.05182066,-0.014589951,0.01115,-0.050966863,0.0047283373,-0.025763227,0.010363529,0.004329769,0.043533977,0.00034910208,0.008672609,-0.035498172,-0.041940022,-0.010836738,0.014706422,-0.052913737
0.0851759,0.16664602,-0.034399837,0.036669757,0.03310698,0.08568104,0.0062190993,0.085651,-0.048175093,-0.025845163,0.010995935,-0.046204343,-0.013551535,0.010509186,-0.010682877,0.001648154,0.008180731,-0.0032621461,-0.026982037,-0.020066373,-0.01640924,-0.005506186,0.045597102,-0.0696185,0.003859696,-0.058843568,0.013349657,-0.0014824809,-0.014234368,-0.07508136,-0.011691812,-0.026423281,0.009773161,-0.026459442,-0.00090002647,0.002547928,-0.002184778,-0.08928015,0.0009597067,-0.03996481,-0.09950682,-0.028783988,0.005153298,-0.0043225014,-0.023946963,-0.03315729,0.007988889,-0.0769325,-0.011010247,0.0010338012
